Level,Korean,Japanese,English
46,"초황신","超煌神","Novalord"
45,"환명신","幻冥神","Dreadlord"
44,"천상신","天翔神","Skylord"
43,"폭염신","爆焔神","Magmalord"
42,"굉뢰신","轟雷神","Stormlord"
41,"용무제","龍武帝","Dragonfang"
40,"귀무제","鬼武帝","Lionheart"
39,"수무제","獣武帝","Tigerclaw"
38,"강권성","剛拳聖","Doomslayer"
37,"격권성","撃拳聖","Grimslayer"
36,"공권성","空拳聖","Darkslayer"
35,"천마왕","天魔王","Conqueror"
34,"진마왕","真魔王","Vanquisher"
33,"대마왕","大魔王","Avenger"
32,"투장","闘将","Destroyer"
31,"맹장","猛将","Shatterer"
30,"지장","智将","Assassin"
29,"초인","超人","Berserker"
28,"달인","達人","Veteran"
27,"명인","名人","Warrior"
26,"왕자","王者","Guardian"
25,"맹자","猛者","Sentinel"
24,"강자","強者","Defender"
23,"걸사","傑士","Barbarian"
22,"열사","烈士","Raider"
21,"연사","錬士","Hunter"
20,"10단","十段","10th Dan"
19,"9단","九段","9th Dan"
18,"8단","八段","8th Dan"
17,"7단","七段","7th Dan"
16,"6단","六段","6th Dan"
15,"5단","五段","5th Dan"
14,"4단","四段","4th Dan"
13,"3단","三段","3rd Dan"
12,"2단","二段","2nd Dan"
11,"초단","初段","1st Dan"
10,"1급","一級","1th Kyu"
9,"2급","二級","2th Kyu"
8,"3급","三級","3th Kyu"
7,"4급","四級","4th Kyu"
6,"5급","五級","5th Kyu"
5,"6급","六級","6th Kyu"
4,"7급","七級","7th Kyu"
3,"8급","八級","8th Kyu"
2,"9급","九級","9th Kyu"
1,"10급","十級","10th Kyu"
